,Area,N_vertices,Perimetro,Class
515,1097.0,8,1695.1614681482315,4
516,22067.0,4,673.0538227558136,4
517,21949.5,4,684.1248904466629,4
518,21905.5,4,686.9533175230026,4
519,22023.0,4,676.710676908493,4
520,28721.5,4,798.9533175230026,4
521,28694.5,4,799.7817445993423,4
522,28710.5,4,795.7817445993423,4
523,28740.0,4,795.5391039848328,4
524,19635.5,4,666.6101715564728,4
525,19644.0,4,662.0243852138519,4
526,19608.0,4,665.6812393665314,4
527,19594.0,4,671.6812393665314,4
528,13080.0,5,549.8822495937347,4
529,13065.0,4,554.3675308227539,4
530,13123.5,4,544.4680359363556,4
531,13137.0,5,540.5685412883759,4
532,3.0,5,6.828427076339722,4
533,3.0,5,6.828427076339722,4
534,11506.0,4,521.8822498321533,4
535,3.0,5,6.828427076339722,4
536,19668.5,4,684.6101715564728,4
537,1312.5,8,1277.6639943122864,4
538,1310.0,7,1279.5634891986847,4
539,19605.0,4,690.1665205955505,4
540,1296.0,8,1371.906634926796,4
541,1238.5,8,1373.6639944314957,4
542,1209.5,8,1379.320848584175,4
543,1267.5,8,1375.8061298131943,4
544,1038.0,8,1103.4213535785675,4
545,1037.5,8,1102.007140159607,4
546,1050.5,8,1099.8650048971176,4
547,15397.0,4,586.710676908493,4
548,15089.0,4,581.1959581375122,4
549,15225.5,4,576.9533174037933,4
550,15205.0,4,577.5391039848328,4
551,15068.5,4,580.6101716756821,4
552,13991.5,4,563.0954526662827,4
553,14050.5,4,550.6101715564728,4
554,14026.5,4,552.2670258283615,4
555,13995.5,4,567.5807341337204,4
556,264.5,2,461.63960921764374,4
557,266.0,2,456.2253956794739,4
558,732.5,6,982.3502861261368,4
559,267.0,2,461.8822498321533,4
560,849.0,8,1089.64674949646,4
561,837.0,8,1084.8183224201202,4
562,809.5,8,1091.0609630346298,4
563,852.5,8,1093.0609630346298,4
564,187.5,2,327.3553384542465,4
565,291.5,6,278.8111820220947,4
566,146.5,2,170.04163014888763,4
567,315.5,4,266.46803617477417,4
568,7882.0,4,441.0538227558136,4
569,7922.5,4,436.811182141304,4
570,7886.5,4,441.63960909843445,4
571,7857.5,4,445.63960921764374,4
572,16198.5,4,649.5807341337204,4
573,16073.0,4,646.9949476718903,4
574,16091.5,4,644.4091612100601,4
575,16221.0,4,646.9949476718903,4
576,17597.5,4,653.5218589305878,4
577,1076.0,8,1247.3868638277054,4
578,17541.0,4,658.2497808933258,4
579,17584.0,4,652.9360725879669,4
580,11665.5,4,557.0365778207779,4
581,11700.0,4,554.4507913589478,4
582,11703.0,4,554.4507912397385,4
583,11671.5,4,557.0365777015686,4
584,538.5,4,560.8355672359467,4
585,539.0,4,561.4213536977768,4
586,469.5,4,605.5218590497971,4
587,478.5,4,606.3502861261368,4
588,670.5,2,631.5807341337204,4
589,1250.5,8,1474.0315254926682,4
590,1316.5,8,1467.2030984163284,4
591,1429.5,8,1458.7178171873093,4
592,99.5,3,100.04163014888763,4
593,62.5,3,82.38477599620819,4
594,5.0,5,8.828427076339722,4
595,190.0,4,247.94112491607666,4
596,23938.0,4,649.8031650781631,5
597,23942.0,4,648.9747377634048,5
598,23940.0,4,648.9747384786606,5
599,23942.0,4,649.8031647205353,5
600,22935.0,4,637.945302605629,5
601,22939.5,4,638.1879434585571,5
602,22945.0,4,637.9453037977219,5
603,22940.0,4,637.1168758869171,5
604,19777.0,4,597.3767580986023,5
605,19785.5,4,596.7909722328186,5
606,19784.5,4,596.7909715175629,5
607,19774.5,4,594.7909715175629,5
608,19198.0,4,601.376760840416,5
609,1604.5,8,1145.0550357103348,5
610,1606.0,8,1145.6408227682114,5
611,19203.0,4,601.3767610788345,5
612,18561.0,4,587.0336135625839,5
613,18564.0,4,586.6904652118683,5
614,18568.0,4,586.6904654502869,5
615,18564.0,4,587.0336130857468,5
616,15656.0,4,562.3229370117188,5
617,15650.5,4,562.9087229967117,5
618,15651.5,4,563.7371499538422,5
619,15655.0,4,563.1513640880585,5
620,412.0,2,313.9898943901062,5
621,981.0,6,820.9402495622635,5
622,17.0,4,25.313708305358887,5
623,2.0,4,6.0,5
624,234.5,2,204.1492749452591,5
625,234.5,2,204.14927470684052,5
626,236.5,2,204.14927470684052,5
627,236.5,2,204.14927470684052,5
628,1063.0,8,834.1706955432892,5
629,1058.5,8,836.4133361577988,5
630,1066.0,8,837.8275499343872,5
631,1067.0,8,836.170695900917,5
632,1518.5,8,1293.363693356514,5
633,1516.0,8,1291.949481010437,5
634,1521.5,8,1292.5352666378021,5
635,1533.5,8,1295.3636920452118,5
636,23799.0,4,714.0041761398315,5
